"factor","AME","SE","z","p","lower","upper"
"age",-0.00379735596296615,0.00054256191354405,-6.9989357309686,2.57914129062907e-12,-0.00487720984918398,-0.00275040622932503
"corrper",0.00568878434844235,0.0202093994758126,0.28149200352296,0.77833306050316,-0.0338962640664206,0.0453231261771303
"ed",-0.00580590279669712,0.00235209986949622,-2.46839127538434,0.0135721875225711,-0.0104410879524228,-0.00122102588791492
"eff1",-0.00732438073665662,0.00502441238777034,-1.45775867332954,0.144907073088521,-0.0172037810023999,0.00249155364461367
"eff2",0.0157889729954418,0.00626904880011525,2.51855959314776,0.0117835941328882,0.00357026899025498,0.0281444887213548
"gndrWoman",0.0130150466154324,0.0169419284644465,0.76821517944342,0.442359356804646,-0.0201342430131149,0.0462768962248234
"pint_dic",-0.0343618403084984,0.017780941097835,-1.93250965285985,0.0532966317887854,-0.0693607174388438,0.000339290887125497
"polscore",0.00311451995746901,0.00305084599186498,1.0208709209753,0.307315597824169,-0.00273267609667638,0.0092264204361911
"pres_conf",-0.0190591381680926,0.00442753895594181,-4.30467994923343,1.67227316661209e-05,-0.0275787884506516,-0.0102231546630636
"prot3Yes",0.103986940406753,0.0385327215933561,2.69866586388963,0.00696180362961532,0.0288695343347931,0.179915027433367
"unem2_4a",0.0617460311547801,0.0224603736581881,2.74910970291316,0.00597573825006713,0.0166021478985264,0.104645194797248
"urUrban",-0.0031991942759896,0.0203814969401204,-0.15696561863874,0.875271944516887,-0.0431600279464377,0.036733971960861
"year2016",0.0873831545760493,0.0226667699497951,3.85512160619247,0.000115672116514664,0.0426199524163318,0.131472057911238
"factor","AME","SE","z","p","lower","upper"
"age",-0.0037085878989702,0.000536979988682608,-6.90638008330368,4.97176822160527e-12,-0.00477462242717712,-0.00266969955070385
"corrper",0.0064322621517144,0.0198956103803771,0.323300568755532,0.746467623304342,-0.032538876156452,0.0454504834355089
"ed",-0.00564984565162968,0.0023693560739601,-2.38454899781552,0.0171000706728879,-0.0103143761384583,-0.00102667099543228
"eff1",-0.007643647663321,0.00501735600384363,-1.52344136183788,0.127648320557281,-0.0175054597758007,0.00216221435449793
"eff2",0.015607715837952,0.00631850864530289,2.47015818353823,0.0135053317963218,0.00328078926122282,0.0280488880228201
"gndrWoman",0.0121548798835671,0.0169419267571803,0.717443774712084,0.473100317428803,-0.0210062880678245,0.0454048444777531
"pint_dic",-0.0326883712669112,0.0177505186049942,-1.84154457648996,0.0655417944646568,-0.0675983848716127,0.00198236947378089
"polscore",0.00280079154228985,0.00300124357131118,0.933210342893378,0.350711375558735,-0.00294273984548563,0.00882191877171894
"pres_conf",-0.0192830832421019,0.00446928119193522,-4.31458268432473,1.59904677760499e-05,-0.0278854277208184,-0.0103661673748678
"prot3Yes",0.103015617971208,0.0383170926964874,2.68850298187294,0.00717731946514468,0.02824315656699,0.178443399921786
"unem2_4a",0.0639799312489562,0.0232527372133372,2.75150106681888,0.00593228265948614,0.017238379158907,0.108387434119137
"urUrban",-0.00340033623199376,0.0203029953425143,-0.167479535636473,0.866992748301191,-0.0432058882763577,0.0363803910228672
"year2016",0.0870740844434089,0.0225916905543209,3.85425270561503,0.000116083648413586,0.0424702476198499,0.131028047292535
